Sample tag#,Subspp/Prov ID,STATE,Subspecies,subsppcyt,Prov,Repl,,survivorship,width (in),height (in)
348,AZ'T*W-1-3,AZ',T,T4n,*W-1,-3,AZ'T*W-1,Alive,24,27
349,WAT-1-3,WA,T,T2n,-1,-3,WAT-1,Alive,38,40
350,NM'T-2-10,NM',T,T4n,-2,-10,NM'T-2,Alive,38,46
351,MT'W-1-4,MT',W,W4n,-1,-4,MT'W-1,Dead,,
352,MTT-1-8,MT,T,T2n,-1,-8,MTT-1,Alive,22,36
353,NV'V-3-10,NV',V,V4n,-3,-10,NV'V-3,Alive,32,25
354,ORT-1-2,OR,T,T2n,-1,-2,ORT-1,Alive,46,42
355,ID'W-1-1,ID',W,W4n,-1,-1,ID'W-1,Alive,28,19
356,WA'W-1-3,WA',W,W4n,-1,-3,WA'W-1,Alive,19,28
357,ID'W-2-2,ID',W,W4n,-2,-2,ID'W-2,Alive,36,25
358,CAV*W-3-8,CA,V,V2n,*W-3,-8,CAV*W-3,Dead,,
359,NVT-2-3-R,NV,T,T2n,-2,-3-R,NVT-2,Alive,42,55
360,UTT-3-4,UT,T,T2n,-3,-4,UTT-3,Alive,34,47
361,NM'T-1-10,NM',T,T4n,-1,-10,NM'T-1,Dead,,
362,ORT-2-9-R,OR,T,T2n,-2,-9-R,ORT-2,Alive,40,50
363,IDT-3-2,ID,T,T2n,-3,-2,IDT-3,Dead,,
364,UT'W-2-4,UT',W,W4n,-2,-4,UT'W-2,Dead,,
365,UTT-2-4,UT,T,T2n,-2,-4,UTT-2,Alive,58,46
366,MT'W-1-2,MT',W,W4n,-1,-2,MT'W-1,Dead,,
367,NVT-1-1,NV,T,T2n,-1,-1,NVT-1,Alive,42,49
368,MT'W-2-1,MT',W,W4n,-2,-1,MT'W-2,Dead,,
369,UT'V-3-9,UT',V,V4n,-3,-9,UT'V-3,Dead,,
370,AZ'T-1-1,AZ',T,T4n,-1,-1,AZ'T-1,Alive,31,25
371,NV'V-3-9,NV',V,V4n,-3,-9,NV'V-3,Dead,,
372,ID'W-3-4,ID',W,W4n,-3,-4,ID'W-3,Alive,50,38
373,ORT*W-2-6,OR,T,T2n,*W-2,-6,ORT*W-2,Alive,27,32
374,MTV-1-10,MT,V,V2n,-1,-10,MTV-1,Dead,,
375,IDT-2-2,ID,T,T2n,-2,-2,IDT-2,Alive,44,48
376,CAT-2-3,CA,T,T2n,-2,-3,CAT-2,Alive,56,46
377,IDV-2-8,ID,V,V2n,-2,-8,IDV-2,Barely Alive,9,22
378,WA'W-1-5,WA',W,W4n,-1,-5,WA'W-1,Dead,,
379,CO'V*W-2-7,CO',V,V4n,-2,-7,CO'V-2,Alive,22,20
380,ORT-2-4,OR,T,T2n,-2,-4,ORT-2,Alive,39,49
381,ORT-1-9,OR,T,T2n,-1,-9,ORT-1,Alive,30,38
382,COT-1-6,CO,T,T2n,-1,-6,COT-1,Alive,31,45
383,IDT-1-5,ID,T,T2n,-1,-5,IDT-1,Alive,56,46
384,WY'W-1-2,WY',W,W4n,-1,-2,WY'W-1,Dead,,
385,IDV-5-5,ID,V,V2n,-5,-5,IDV-5,Dead,,
386,AZ'T-1-9,AZ',T,T4n,-1,-9,AZ'T-1,Dead,,
387,ID'W-1-2,ID',W,W4n,-1,-2,ID'W-1,Alive,28,25
388,CAT-1-1,CA,T,T2n,-1,-1,CAT-1,Alive,24,36
389,ORT-1-1,OR,T,T2n,-1,-1,ORT-1,Alive,36,42
390,ORT*W-3-1,OR,T,T2n,*W-3,-1,ORT*W-3,Dead,,
391,ORT-3-1,OR,T,T2n,-3,-1,ORT-3,Dead,,
392,ID'W-1-6,ID',W,W4n,-1,-6,ID'W-1,Alive,30,30
393,CA'V-3-2,CA',V,V4n,-3,-2,CA'V-3,Dead,,
394,ORT-1-6,OR,T,T2n,-1,-6,ORT-1,Alive,48,41
395,ID'W-3-7,ID',W,W4n,-3,-7,ID'W-3,Alive,23,24
396,COT-1-4,CO,T,T2n,-1,-4,COT-1,Dead,,
397,WAT-1-1,WA,T,T2n,-1,-1,WAT-1,Dead,,
398,UT'W*V-2-5,UT',W,W4n,*V-2,-5,UT'W*V-2,Dead,,
399,CAV-1-1,CA,V,V2n,-1,-1,CAV-1,Dead,,
400,UTT-3-2,UT,T,T2n,-3,-2,UTT-3,Dead,,
401,CAV-1-7,CA,V,V2n,-1,-7,CAV-1,Dead,,
402,IDV-4-6,ID,V,V2n,-4,-6,IDV-4,Dead,,
403,OR'V-1-10,OR',V,V4n,-1,-10,OR'V-1,Alive,39,36
404,MT'W-2-4,MT',W,W4n,-2,-4,MT'W-2,Dead,,
405,UT'W-1-4,UT',W,W4n,-1,-4,UT'W-1,Alive,31,27
406,MT'W-1-5,MT',W,W4n,-1,-5,MT'W-1,Dead,,
407,COT-1-2,CO,T,T2n,-1,-2,COT-1,Alive,41,39
408,NV'V-3-2,NV',V,V4n,-3,-2,NV'V-3,Dead,,
409,UTT-3-3,UT,T,T2n,-3,-3,UTT-3,Alive,43,39
410,CAV*W-3-3,CA,V,V2n,*W-3,-3,CAV*W-3,Dead,,
411,COT-1-3,CO,T,T2n,-1,-3,COT-1,Alive,54,43
412,NVV-1-2,NV,V,V2n,-1,-2,NVV-1,Dead,,
413,ORV-2-4,OR,V,V2n,-2,-4,ORV-2,Dead,,
414,UT'V-3-8,UT',V,V4n,-3,-8,UT'V-3,Alive,18,23
415,IDT-3-1,ID,T,T2n,-3,-1,IDT-3,Alive,30,38
416,UTT-2-10,UT,T,T2n,-2,-10,UTT-2,Alive,43,60
417,MT'W-3-6,MT',W,W4n,-3,-7,MT'W-3,Dead,,
418,WA'W-1-2,WA',W,W4n,-1,-2,WA'W-1,Alive,59,41
419,CAT-2-8,CA,T,T2n,-2,,CAT-2,Alive,34,34
420,CAV-2-2,CA,V,V2n,-2,-2,CAV-2,Barely Alive,10,16
421,UTV-1-7,UT,V,V2n,-1,-7,UTV-1,Dead,,
422,OR'V-1-7,OR',V,V4n,-1,-7,OR'V-1,Dead,,
423,AZ'T-1-10,AZ',T,T4n,-1,-10,AZ'T-1,Alive,45,38
424,ORT*W-2-2,OR,T,T2n,*W-2,-2,ORT*W-2,Dead,,
425,MT'W-3-7,MT',W,W4n,-3,-8,MT'W-3,Dead,,
426,CAV-1-2,CA,V,V2n,-1,-2,CAV-1,Dead,,
427,ID'W-3-1,ID',W,W4n,-3,-1,ID'W-3,Dead,,
428,NVT-2-4,NV,T,T2n,-2,,NVT-2,Alive,62,50
429,IDT-1-4,ID,T,T2n,-1,-4,IDT-1,Alive,32,36
430,UT'W-1-5,UT',W,W4n,-1,-5,UT'W-1,Dead,,
431,CAV*W-3-10,CA,V,V2n,*W-3,-10,CAV*W-3,Alive,56,48
432,IDT-2-5,ID,T,T2n,-2,,IDT-2,Alive,48,48
433,CO'V*W-2-5,CO',V,V4n,-2,-5,CO'V-2,Dead,,
434,NVT-2-6,NV,T,T2n,-2,,NVT-2,Alive,24,46
435,CO'W-1-3,CO',W,W4n,-1,-3,CO'W-1,Alive,31,26
436,WA'W-1-4,WA',W,W4n,-1,-4,WA'W-1,Dead,,
437,ORT-2-1,OR,T,T2n,-2,,ORT-2,Dead,,
438,WY'W-2-2,WY',W,W4n,-2,-2,WY'W-2,Dead,,
439,NVT-1-4,NV,T,T2n,-1,-4,NVT-1,Alive,41,40
440,WA'W-1-10,WA',W,W4n,-1,-10,WA'W-1,Dead,,
441,IDT-3-9,ID,T,T2n,-3,,IDT-3,Alive,56,53
442,CO'W-1-7,CO',W,W4n,-1,-7,CO'W-1,Dead,,
443,CA'V-4-2,CA',V,V4n,-4,-2,CA'V-4,Dead,,
444,NM'T-1-4,NM',T,T4n,-1,-4,NM'T-1,Dead,,
445,MT'W-2-7,MT',W,W4n,-2,-7,MT'W-2,Alive,37,44
446,IDT-2-7,ID,T,T2n,-2,,IDT-2,Alive,29,32
447,IDT-1-9,ID,T,T2n,-1,-9,IDT-1,Dead,,
448,CA'V-3-3,CA',V,V4n,-3,-3,CA'V-3,Alive,39,30
449,IDT-2-6,ID,T,T2n,-2,,IDT-2,Dead,,
450,NVT*W-1-10,NV,T,T2n,*W-1,-10,NVT*W-1,Alive,27,33
451,MT'W-3-2,MT',W,W4n,-3,-2,MT'W-3,Alive,36,36
452,CAV*W-3-4,CA,V,V2n,*W-3,-4,CAV*W-3,Dead,,
453,NVT-1-7,NV,T,T2n,-1,-7,NVT-1,Dead,,
454,ORT-1-7,OR,T,T2n,-1,-7,ORT-1,Alive,46,53
455,NVV-1-5,NV,V,V2n,-1,-5,NVV-1,Alive,30,42
456,IDV-5-7,ID,V,V2n,-5,-7,IDV-5,Dead,,
457,IDT-3-8,ID,T,T2n,-3,,IDT-3,Alive,38,38
458,CAV-2-6,CA,V,V2n,-2,-6,CAV-2,Dead,,
459,IDV-3-4,ID,V,V2n,-3,-4,IDV-3,Dead,,
460,NVV-1-8,NV,V,V2n,-1,-8,NVV-1,Dead,,
461,ORT*W-2-3,OR,T,T2n,*W-2,-3,ORT*W-2,Alive,45,46
462,MT'W-2-2,MT',W,W4n,-2,-2,MT'W-2,Dead,,
463,CA'V-3-4,CA',V,V4n,-3,-4,CA'V-3,Alive,21,18
464,CAV*W-3-7,CA,V,V2n,*W-3,-7,CAV*W-3,Dead,,
465,NVV-1-9,NV,V,V2n,-1,-9,NVV-1,Dead,,
466,CAT-2-4,CA,T,T2n,-2,,CAT-2,Dead,,
467,UT'W*V-2-5-R,UT',W,W4n,*V-2,-5-R,UT'W*V-2,Alive,31,26
468,NM'T-1-8,NM',T,T4n,-1,-8,NM'T-1,Dead,,
